Stream Type,F#,Timestamp,Arrival Time
Depth,0,272140.431,526
Depth,1,272173.756,560
Depth,2,272207.081,594
Depth,3,272240.406,628
Depth,4,272273.731,660
Depth,5,272307.057,695
Depth,6,272340.382,728
Depth,7,272373.707,762
Depth,8,272407.032,796
Depth,9,272440.357,829
Color,41,272148.433,526
Color,42,272182.033,560
Color,43,272215.633,594
Color,44,272249.233,628
Color,45,272282.833,660
Color,46,272316.433,695
Color,47,272350.033,728
Color,48,272383.633,762
Color,49,272417.233,796
Color,50,272450.833,829
